	DJIA	CPI	REAL DJIA
Январь 1952	5,600974255	3,277144733	7,778328718
Февраль 1952	5,560989276	3,269568939	7,745919533
Март 1952	5,596419956	3,269568939	7,781350214
Апрель 1952	5,551524447	3,27336401	7,732659633
Май 1952	5,571925869	3,27336401	7,753061056
Июнь 1952	5,614076562	3,277144733	7,791431025
Июль 1952	5,633216939	3,284663565	7,80305257
Август 1952	5,616916542	3,284663565	7,786752173
Сентябрь 1952	5,60067867	3,284663565	7,770514301
Октябрь 1952	5,595566033	3,284663565	7,765401664
Ноябрь 1952	5,647776338	3,284663565	7,817611969
Декабрь 1952	5,676411278	3,284663565	7,846246909
Январь 1953	5,669087505	3,280911216	7,842675486
Февраль 1953	5,649924491	3,277144733	7,827278954
Март 1953	5,63432521	3,280911216	7,80791319
Апрель 1953	5,615861593	3,280911216	7,789449574
Май 1953	5,606830949	3,284663565	7,77666658
Июнь 1953	5,591956659	3,288401888	7,758053968
Июль 1953	5,618151962	3,288401888	7,784249271
Август 1953	5,565362964	3,292126287	7,727735874
Сентябрь 1953	5,576100607	3,292126287	7,738473517
Октябрь 1953	5,619712223	3,295836866	7,778374553
Ноябрь 1953	5,639670529	3,292126287	7,802043439
Декабрь 1953	5,637998734	3,292126287	7,800371644
Январь 1954	5,678088528	3,292126287	7,840461437
Февраль 1954	5,685414817	3,292126287	7,847787727
Март 1954	5,715414559	3,292126287	7,877787469
Апрель 1954	5,766225051	3,288401888	7,93232236
Май 1954	5,79145752	3,292126287	7,95383043
Июнь 1954	5,809732816	3,292126287	7,972105726
Июль 1954	5,851972568	3,292126287	8,014345478
Август 1954	5,816515745	3,292126287	7,978888655
Сентябрь 1954	5,887380994	3,288401888	8,053478303
Октябрь 1954	5,864028824	3,288401888	8,030126133
Ноябрь 1954	5,957830201	3,288401888	8,12392751
Декабрь 1954	6,002379759	3,284663565	8,17221539
Январь 1955	6,013299422	3,284663565	8,183135053
Февраль 1955	6,020707766	3,284663565	8,190543397
Март 1955	6,015425185	3,284663565	8,185260816
Апрель 1955	6,053617412	3,284663565	8,223453043
Май 1955	6,051759703	3,284663565	8,221595334
Июнь 1955	6,112309557	3,284663565	8,282145188
Июль 1955	6,143863694	3,288401888	8,309961003
Август 1955	6,148852837	3,288401888	8,314950146
Сентябрь 1955	6,145515222	3,292126287	8,307888132
Октябрь 1955	6,120011664	3,292126287	8,282384574
Ноябрь 1955	6,180554811	3,292126287	8,342927721
Декабрь 1955	6,191134742	3,288401888	8,357232051
Январь 1956	6,154305925	3,288401888	8,320403234
Февраль 1956	6,181361505	3,288401888	8,347458814
Март 1956	6,237914385	3,288401888	8,404011694
Апрель 1956	6,246339297	3,292126287	8,408712206
Май 1956	6,16971533	3,295836866	8,32837766
Июнь 1956	6,200062827	3,303216973	8,35134505
Июль 1956	6,24960838	3,310543013	8,393564563
